generation,strategy,count,share
25,CTFT,75,0.375000
25,Empath,2,0.010000
25,GRIM,0,0.000000
25,PAVLOV,0,0.000000
25,PROBER,116,0.580000
25,Reflector,2,0.010000
25,TFT,5,0.025000
26,ALLC,0,0.000000
26,ALLD,0,0.000000
26,CTFT,75,0.375000
26,Empath,2,0.010000
26,GRIM,0,0.000000
26,PAVLOV,0,0.000000
26,PROBER,117,0.585000
26,Reflector,2,0.010000
26,TFT,4,0.020000
27,ALLC,0,0.000000
27,ALLD,0,0.000000
27,CTFT,75,0.375000
27,Empath,2,0.010000
27,GRIM,0,0.000000
27,PAVLOV,0,0.000000
27,PROBER,118,0.590000
27,Reflector,2,0.010000
27,TFT,3,0.015000
28,ALLC,0,0.000000
28,ALLD,0,0.000000
28,CTFT,75,0.375000
28,Empath,2,0.010000
28,GRIM,0,0.000000
28,PAVLOV,0,0.000000
28,PROBER,119,0.595000
28,Reflector,2,0.010000
28,TFT,2,0.010000
29,ALLC,0,0.000000
29,ALLD,0,0.000000
29,CTFT,75,0.375000
29,Empath,2,0.010000
29,GRIM,0,0.000000
29,PAVLOV,0,0.000000
29,PROBER,120,0.600000
29,Reflector,1,0.005000
29,TFT,2,0.010000
30,ALLC,0,0.000000
30,ALLD,0,0.000000
30,CTFT,75,0.375000
30,Empath,1,0.005000
30,GRIM,0,0.000000
30,PAVLOV,0,0.000000
30,PROBER,121,0.605000
30,Reflector,1,0.005000
30,TFT,2,0.010000
31,ALLC,0,0.000000
31,ALLD,0,0.000000
31,CTFT,75,0.375000
31,Empath,1,0.005000
31,GRIM,0,0.000000
31,PAVLOV,0,0.000000
31,PROBER,121,0.605000
31,Reflector,1,0.005000
31,TFT,2,0.010000
32,ALLC,0,0.000000
32,ALLD,0,0.000000
32,CTFT,75,0.375000
32,Empath,1,0.005000
32,GRIM,0,0.000000
32,PAVLOV,0,0.000000
32,PROBER,121,0.605000
32,Reflector,1,0.005000
32,TFT,2,0.010000
33,ALLC,0,0.000000
33,ALLD,0,0.000000
33,CTFT,75,0.375000
33,Empath,1,0.005000
33,GRIM,0,0.000000
33,PAVLOV,0,0.000000
33,PROBER,121,0.605000
33,Reflector,1,0.005000
33,TFT,2,0.010000
34,ALLC,0,0.000000
34,ALLD,0,0.000000
34,CTFT,75,0.375000
34,Empath,1,0.005000
34,GRIM,0,0.000000
34,PAVLOV,0,0.000000
34,PROBER,121,0.605000
34,Reflector,1,0.005000
34,TFT,2,0.010000
35,ALLC,0,0.000000
35,ALLD,0,0.000000
35,CTFT,75,0.375000
35,Empath,1,0.005000
35,GRIM,0,0.000000
35,PAVLOV,0,0.000000
35,PROBER,121,0.605000
35,Reflector,1,0.005000
35,TFT,2,0.010000
36,ALLC,0,0.000000
36,ALLD,0,0.000000
36,CTFT,75,0.375000
36,Empath,1,0.005000
36,GRIM,0,0.000000
36,PAVLOV,0,0.000000
36,PROBER,121,0.605000
36,Reflector,1,0.005000
36,TFT,2,0.010000
37,ALLC,0,0.000000
37,ALLD,0,0.000000
37,CTFT,75,0.375000
37,Empath,1,0.005000
37,GRIM,0,0.000000
37,PAVLOV,0,0.000000
37,PROBER,121,0.605000
37,Reflector,1,0.005000
37,TFT,2,0.010000
38,ALLC,0,0.000000
38,ALLD,0,0.000000
38,CTFT,75,0.375000
38,Empath,1,0.005000
38,GRIM,0,0.000000
38,PAVLOV,0,0.000000
38,PROBER,121,0.605000
38,Reflector,1,0.005000
38,TFT,2,0.010000
39,ALLC,0,0.000000
39,ALLD,0,0.000000
39,CTFT,75,0.375000
39,Empath,1,0.005000
39,GRIM,0,0.000000
39,PAVLOV,0,0.000000
39,PROBER,121,0.605000
39,Reflector,1,0.005000
39,TFT,2,0.010000
40,ALLC,0,0.000000
40,ALLD,0,0.000000
40,CTFT,75,0.375000
40,Empath,1,0.005000
40,GRIM,0,0.000000
40,PAVLOV,0,0.000000
40,PROBER,121,0.605000
40,Reflector,1,0.005000
40,TFT,2,0.010000
41,ALLC,0,0.000000
41,ALLD,0,0.000000
41,CTFT,75,0.375000
41,Empath,1,0.005000
41,GRIM,0,0.000000
41,PAVLOV,0,0.000000
41,PROBER,121,0.605000
41,Reflector,1,0.005000
41,TFT,2,0.010000
42,ALLC,0,0.000000
42,ALLD,0,0.000000
42,CTFT,75,0.375000
42,Empath,1,0.005000
42,GRIM,0,0.000000
42,PAVLOV,0,0.000000
42,PROBER,121,0.605000
42,Reflector,1,0.005000
42,TFT,2,0.010000
43,ALLC,0,0.000000
43,ALLD,0,0.000000
43,CTFT,75,0.375000
43,Empath,1,0.005000
43,GRIM,0,0.000000
43,PAVLOV,0,0.000000
43,PROBER,121,0.605000
43,Reflector,1,0.005000
43,TFT,2,0.010000
44,ALLC,0,0.000000
44,ALLD,0,0.000000
44,CTFT,75,0.375000
44,Empath,1,0.005000
44,GRIM,0,0.000000
44,PAVLOV,0,0.000000
44,PROBER,121,0.605000
44,Reflector,1,0.005000
44,TFT,2,0.010000
45,ALLC,0,0.000000
45,ALLD,0,0.000000
45,CTFT,75,0.375000
45,Empath,1,0.005000
45,GRIM,0,0.000000
45,PAVLOV,0,0.000000
45,PROBER,121,0.605000
45,Reflector,1,0.005000
45,TFT,2,0.010000
46,ALLC,0,0.000000
46,ALLD,0,0.000000
46,CTFT,75,0.375000
46,Empath,1,0.005000
46,GRIM,0,0.000000
46,PAVLOV,0,0.000000
46,PROBER,121,0.605000
46,Reflector,1,0.005000
46,TFT,2,0.010000
47,ALLC,0,0.000000
47,ALLD,0,0.000000
47,CTFT,75,0.375000
47,Empath,1,0.005000
47,GRIM,0,0.000000
47,PAVLOV,0,0.000000
47,PROBER,121,0.605000
47,Reflector,1,0.005000
47,TFT,2,0.010000
48,ALLC,0,0.000000
48,ALLD,0,0.000000
48,CTFT,75,0.375000
48,Empath,1,0.005000
48,GRIM,0,0.000000
48,PAVLOV,0,0.000000
48,PROBER,121,0.605000
48,Reflector,1,0.005000
48,TFT,2,0.010000
49,ALLC,0,0.000000
49,ALLD,0,0.000000
49,CTFT,75,0.375000
49,Empath,1,0.005000
49,GRIM,0,0.000000
49,PAVLOV,0,0.000000
49,PROBER,121,0.605000
49,Reflector,1,0.005000
49,TFT,2,0.010000
50,ALLC,0,0.000000
50,ALLD,0,0.000000
50,CTFT,75,0.375000
50,Empath,1,0.005000
50,GRIM,0,0.000000
50,PAVLOV,0,0.000000
50,PROBER,121,0.605000
50,Reflector,1,0.005000
50,TFT,2,0.010000
