strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"ALLD",2.725000,1.740074,1.519190,3.930810,0.100000,1.000000,4.444444,2,1,0.100000,"5.000000,3.000000,1.000000,0.000000",1.000000,8,0.000000
"ALLC",1.725000,1.413961,0.745175,2.704825,0.900000,2.333333,3.714286,2,1,0.100000,"5.000000,3.000000,1.000000,0.000000",1.000000,8,0.000000
