strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"CTFT",2.975537,0.064903,2.968832,2.982242,0.989778,2.733333,3.963446,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"TFT",2.956130,0.134301,2.942256,2.970003,0.969574,3.050000,5.970930,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"PAVLOV",2.952963,0.143295,2.938160,2.967765,0.967685,2.733333,6.379722,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"Empath",2.952463,0.140678,2.937931,2.966995,0.967759,3.483333,4.821674,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"GRIM",2.739556,0.585840,2.679038,2.800073,0.835630,3.066667,148.933333,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"Reflector",2.479074,0.717791,2.404926,2.553223,0.717259,1.963889,7.724195,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
