strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"CTFT",2.342130,0.718307,2.267928,2.416332,0.777741,9.169444,5.945484,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"TFT",2.289778,0.553913,2.232558,2.346998,0.556759,10.155556,11.891275,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"Reflector",2.286074,0.614673,2.222578,2.349570,0.605852,2.200000,5.810431,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"Empath",2.268796,0.543420,2.212660,2.324932,0.576667,10.038889,8.000000,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"PAVLOV",2.148296,0.493808,2.097285,2.199307,0.508241,9.447222,11.263966,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"GRIM",1.788704,0.625081,1.724132,1.853275,0.107889,9.602778,60.847437,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
