generation,strategy,count,share
25,CTFT,41,0.205000
25,Empath,38,0.190000
25,GRIM,1,0.005000
25,PAVLOV,59,0.295000
25,PROBER,20,0.100000
25,Reflector,1,0.005000
25,TFT,39,0.195000
26,ALLC,1,0.005000
26,ALLD,0,0.000000
26,CTFT,41,0.205000
26,Empath,38,0.190000
26,GRIM,1,0.005000
26,PAVLOV,60,0.300000
26,PROBER,19,0.095000
26,Reflector,1,0.005000
26,TFT,39,0.195000
27,ALLC,1,0.005000
27,ALLD,0,0.000000
27,CTFT,41,0.205000
27,Empath,38,0.190000
27,GRIM,1,0.005000
27,PAVLOV,61,0.305000
27,PROBER,18,0.090000
27,Reflector,1,0.005000
27,TFT,39,0.195000
28,ALLC,0,0.000000
28,ALLD,0,0.000000
28,CTFT,41,0.205000
28,Empath,38,0.190000
28,GRIM,1,0.005000
28,PAVLOV,62,0.310000
28,PROBER,18,0.090000
28,Reflector,1,0.005000
28,TFT,39,0.195000
29,ALLC,0,0.000000
29,ALLD,0,0.000000
29,CTFT,41,0.205000
29,Empath,38,0.190000
29,GRIM,1,0.005000
29,PAVLOV,62,0.310000
29,PROBER,18,0.090000
29,Reflector,1,0.005000
29,TFT,39,0.195000
30,ALLC,0,0.000000
30,ALLD,0,0.000000
30,CTFT,41,0.205000
30,Empath,38,0.190000
30,GRIM,1,0.005000
30,PAVLOV,62,0.310000
30,PROBER,18,0.090000
30,Reflector,1,0.005000
30,TFT,39,0.195000
31,ALLC,0,0.000000
31,ALLD,0,0.000000
31,CTFT,41,0.205000
31,Empath,38,0.190000
31,GRIM,1,0.005000
31,PAVLOV,62,0.310000
31,PROBER,18,0.090000
31,Reflector,1,0.005000
31,TFT,39,0.195000
32,ALLC,0,0.000000
32,ALLD,0,0.000000
32,CTFT,41,0.205000
32,Empath,38,0.190000
32,GRIM,1,0.005000
32,PAVLOV,62,0.310000
32,PROBER,18,0.090000
32,Reflector,1,0.005000
32,TFT,39,0.195000
33,ALLC,0,0.000000
33,ALLD,0,0.000000
33,CTFT,41,0.205000
33,Empath,38,0.190000
33,GRIM,1,0.005000
33,PAVLOV,62,0.310000
33,PROBER,18,0.090000
33,Reflector,1,0.005000
33,TFT,39,0.195000
34,ALLC,0,0.000000
34,ALLD,0,0.000000
34,CTFT,41,0.205000
34,Empath,38,0.190000
34,GRIM,1,0.005000
34,PAVLOV,62,0.310000
34,PROBER,18,0.090000
34,Reflector,1,0.005000
34,TFT,39,0.195000
35,ALLC,0,0.000000
35,ALLD,0,0.000000
35,CTFT,41,0.205000
35,Empath,38,0.190000
35,GRIM,1,0.005000
35,PAVLOV,62,0.310000
35,PROBER,18,0.090000
35,Reflector,1,0.005000
35,TFT,39,0.195000
36,ALLC,0,0.000000
36,ALLD,0,0.000000
36,CTFT,41,0.205000
36,Empath,38,0.190000
36,GRIM,1,0.005000
36,PAVLOV,62,0.310000
36,PROBER,18,0.090000
36,Reflector,1,0.005000
36,TFT,39,0.195000
37,ALLC,0,0.000000
37,ALLD,0,0.000000
37,CTFT,41,0.205000
37,Empath,38,0.190000
37,GRIM,1,0.005000
37,PAVLOV,62,0.310000
37,PROBER,18,0.090000
37,Reflector,1,0.005000
37,TFT,39,0.195000
38,ALLC,0,0.000000
38,ALLD,0,0.000000
38,CTFT,41,0.205000
38,Empath,38,0.190000
38,GRIM,1,0.005000
38,PAVLOV,62,0.310000
38,PROBER,18,0.090000
38,Reflector,1,0.005000
38,TFT,39,0.195000
39,ALLC,0,0.000000
39,ALLD,0,0.000000
39,CTFT,41,0.205000
39,Empath,38,0.190000
39,GRIM,1,0.005000
39,PAVLOV,62,0.310000
39,PROBER,18,0.090000
39,Reflector,1,0.005000
39,TFT,39,0.195000
40,ALLC,0,0.000000
40,ALLD,0,0.000000
40,CTFT,41,0.205000
40,Empath,38,0.190000
40,GRIM,1,0.005000
40,PAVLOV,62,0.310000
40,PROBER,18,0.090000
40,Reflector,1,0.005000
40,TFT,39,0.195000
41,ALLC,0,0.000000
41,ALLD,0,0.000000
41,CTFT,41,0.205000
41,Empath,38,0.190000
41,GRIM,1,0.005000
41,PAVLOV,62,0.310000
41,PROBER,18,0.090000
41,Reflector,1,0.005000
41,TFT,39,0.195000
42,ALLC,0,0.000000
42,ALLD,0,0.000000
42,CTFT,41,0.205000
42,Empath,38,0.190000
42,GRIM,1,0.005000
42,PAVLOV,62,0.310000
42,PROBER,18,0.090000
42,Reflector,1,0.005000
42,TFT,39,0.195000
43,ALLC,0,0.000000
43,ALLD,0,0.000000
43,CTFT,41,0.205000
43,Empath,38,0.190000
43,GRIM,1,0.005000
43,PAVLOV,62,0.310000
43,PROBER,18,0.090000
43,Reflector,1,0.005000
43,TFT,39,0.195000
44,ALLC,0,0.000000
44,ALLD,0,0.000000
44,CTFT,41,0.205000
44,Empath,38,0.190000
44,GRIM,1,0.005000
44,PAVLOV,62,0.310000
44,PROBER,18,0.090000
44,Reflector,1,0.005000
44,TFT,39,0.195000
45,ALLC,0,0.000000
45,ALLD,0,0.000000
45,CTFT,41,0.205000
45,Empath,38,0.190000
45,GRIM,1,0.005000
45,PAVLOV,62,0.310000
45,PROBER,18,0.090000
45,Reflector,1,0.005000
45,TFT,39,0.195000
46,ALLC,0,0.000000
46,ALLD,0,0.000000
46,CTFT,41,0.205000
46,Empath,38,0.190000
46,GRIM,1,0.005000
46,PAVLOV,62,0.310000
46,PROBER,18,0.090000
46,Reflector,1,0.005000
46,TFT,39,0.195000
