strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"PAVLOV",2.821083,0.273160,2.772209,2.869958,0.878917,2.983333,5.925439,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,120,0.000000
"Reflector",2.633583,0.269456,2.585372,2.681795,0.742917,1.883333,4.631259,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,120,0.000000
