strategy,mean,net_mean,cost,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"ALLD",3.000000,2.000000,1.000000,2.309401,0.736787,5.263213,0.000000,1.000000,5.000000,1,,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,4,0.000000
"ALLC",1.500000,-0.500000,2.000000,1.732051,-0.197410,3.197410,1.000000,NA,5.000000,1,,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,4,0.000000
