strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"Empath",2.668238,0.699325,2.601356,2.735120,0.827833,2.441667,13.763867,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,420,0.000000
"TFT",2.666833,0.701666,2.599727,2.733939,0.826405,2.408333,17.350202,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,420,0.000000
"PAVLOV",2.654429,0.702236,2.587268,2.721589,0.819167,2.533333,16.539450,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,420,0.000000
"GRIM",2.525667,0.777841,2.451275,2.600058,0.719738,2.908333,99.091667,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,420,0.000000
"ALLC",2.497214,1.037429,2.397996,2.596432,1.000000,NA,8.823793,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,420,0.000000
"Reflector",2.255667,0.918150,2.167856,2.343477,0.598667,2.145238,7.746832,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,420,0.000000
"ALLD",1.672381,1.373115,1.541059,1.803703,0.000000,1.000000,100.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,420,0.000000
