generation,ALLC,ALLD,CTFT,Empath,GRIM,PAVLOV,PROBER,Reflector,TFT
0,0.115000,0.115000,0.110000,0.110000,0.110000,0.110000,0.110000,0.110000,0.110000
1,0.010000,0.000000,0.240000,0.110000,0.035000,0.110000,0.210000,0.075000,0.210000
2,0.000000,0.000000,0.295000,0.115000,0.015000,0.045000,0.235000,0.075000,0.220000
3,0.000000,0.000000,0.310000,0.120000,0.005000,0.020000,0.235000,0.070000,0.240000
4,0.010000,0.000000,0.355000,0.120000,0.000000,0.005000,0.235000,0.065000,0.210000
5,0.000000,0.010000,0.360000,0.160000,0.005000,0.000000,0.215000,0.050000,0.200000
6,0.005000,0.005000,0.390000,0.120000,0.000000,0.000000,0.260000,0.050000,0.170000
7,0.005000,0.000000,0.465000,0.085000,0.000000,0.000000,0.270000,0.040000,0.135000
8,0.000000,0.000000,0.480000,0.055000,0.005000,0.005000,0.300000,0.035000,0.120000
9,0.000000,0.000000,0.465000,0.055000,0.005000,0.005000,0.300000,0.025000,0.145000
10,0.000000,0.000000,0.510000,0.030000,0.005000,0.010000,0.255000,0.055000,0.135000
11,0.000000,0.000000,0.495000,0.045000,0.005000,0.015000,0.265000,0.055000,0.120000
12,0.005000,0.005000,0.525000,0.030000,0.000000,0.005000,0.240000,0.055000,0.135000
13,0.000000,0.005000,0.505000,0.030000,0.000000,0.005000,0.285000,0.060000,0.110000
14,0.005000,0.005000,0.525000,0.050000,0.000000,0.005000,0.285000,0.030000,0.095000
15,0.000000,0.000000,0.480000,0.060000,0.000000,0.005000,0.305000,0.050000,0.100000
16,0.000000,0.010000,0.490000,0.035000,0.000000,0.000000,0.320000,0.055000,0.090000
17,0.005000,0.000000,0.470000,0.040000,0.000000,0.000000,0.360000,0.020000,0.105000
18,0.000000,0.005000,0.485000,0.035000,0.005000,0.000000,0.345000,0.040000,0.085000
19,0.000000,0.005000,0.465000,0.030000,0.010000,0.000000,0.370000,0.050000,0.070000
20,0.000000,0.000000,0.440000,0.030000,0.000000,0.000000,0.435000,0.035000,0.060000
21,0.005000,0.005000,0.450000,0.040000,0.000000,0.010000,0.395000,0.030000,0.065000
22,0.000000,0.005000,0.435000,0.040000,0.005000,0.005000,0.445000,0.025000,0.040000
23,0.000000,0.000000,0.430000,0.070000,0.000000,0.015000,0.405000,0.040000,0.040000
24,0.000000,0.000000,0.455000,0.060000,0.000000,0.015000,0.405000,0.035000,0.030000
25,0.000000,0.000000,0.445000,0.075000,0.010000,0.005000,0.410000,0.010000,0.045000
26,0.010000,0.000000,0.460000,0.060000,0.000000,0.005000,0.435000,0.005000,0.025000
27,0.010000,0.000000,0.435000,0.035000,0.000000,0.005000,0.485000,0.010000,0.020000
28,0.005000,0.005000,0.445000,0.045000,0.000000,0.000000,0.470000,0.020000,0.010000
29,0.005000,0.000000,0.450000,0.020000,0.000000,0.000000,0.485000,0.030000,0.010000
30,0.005000,0.005000,0.480000,0.015000,0.000000,0.005000,0.460000,0.010000,0.020000
31,0.000000,0.000000,0.465000,0.010000,0.000000,0.005000,0.500000,0.000000,0.020000
32,0.000000,0.000000,0.415000,0.010000,0.000000,0.010000,0.560000,0.000000,0.005000
33,0.005000,0.000000,0.430000,0.010000,0.000000,0.015000,0.520000,0.005000,0.015000
34,0.000000,0.000000,0.415000,0.015000,0.000000,0.010000,0.540000,0.005000,0.015000
35,0.000000,0.000000,0.350000,0.010000,0.005000,0.000000,0.610000,0.015000,0.010000
36,0.010000,0.005000,0.350000,0.010000,0.010000,0.000000,0.610000,0.000000,0.005000
37,0.000000,0.005000,0.350000,0.015000,0.000000,0.005000,0.615000,0.005000,0.005000
38,0.000000,0.005000,0.380000,0.015000,0.000000,0.005000,0.595000,0.000000,0.000000
39,0.005000,0.000000,0.375000,0.010000,0.000000,0.010000,0.595000,0.005000,0.000000
40,0.000000,0.005000,0.410000,0.015000,0.000000,0.010000,0.550000,0.010000,0.000000
41,0.005000,0.005000,0.335000,0.030000,0.000000,0.000000,0.620000,0.005000,0.000000
42,0.000000,0.000000,0.365000,0.030000,0.000000,0.005000,0.585000,0.010000,0.005000
43,0.000000,0.000000,0.335000,0.040000,0.000000,0.000000,0.605000,0.010000,0.010000
44,0.005000,0.000000,0.370000,0.055000,0.005000,0.000000,0.545000,0.000000,0.020000
45,0.000000,0.000000,0.335000,0.030000,0.000000,0.000000,0.600000,0.005000,0.030000
46,0.005000,0.000000,0.355000,0.015000,0.000000,0.000000,0.590000,0.005000,0.030000
47,0.005000,0.005000,0.345000,0.015000,0.000000,0.000000,0.590000,0.015000,0.025000
48,0.000000,0.000000,0.370000,0.020000,0.000000,0.000000,0.560000,0.030000,0.020000
49,0.000000,0.005000,0.310000,0.020000,0.000000,0.005000,0.610000,0.035000,0.015000
50,0.000000,0.000000,0.265000,0.040000,0.005000,0.005000,0.635000,0.045000,0.005000
