strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"PROBER",2.502958,0.935071,2.419306,2.586611,0.462764,1.181250,13.802828,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"CTFT",2.423653,0.733926,2.357995,2.489311,0.783722,6.991667,5.621000,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"Empath",2.378278,0.623378,2.322510,2.434046,0.603014,7.800000,6.965819,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"Reflector",2.370778,0.654423,2.312232,2.429323,0.622292,2.258333,5.435701,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"TFT",2.346069,0.599827,2.292408,2.399731,0.581806,6.697917,11.275416,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",2.000000,480,0.000000
"PAVLOV",2.256444,0.584869,2.204121,2.308768,0.547583,7.495833,10.951498,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",2.000000,480,0.000000
"ALLC",2.150778,1.076612,2.054463,2.247093,0.950306,20.045833,4.608207,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",1.000000,480,0.000000
"ALLD",2.008653,1.156338,1.905205,2.112100,0.049208,1.052083,52.905882,30,42,0.050000,"5.000000,3.000000,1.000000,0.000000",1.000000,480,0.000000
