generation,strategy,count,share
0,ALLC,23,0.115000
0,ALLD,23,0.115000
0,CTFT,22,0.110000
0,Empath,22,0.110000
0,GRIM,22,0.110000
0,PAVLOV,22,0.110000
0,PROBER,22,0.110000
0,Reflector,22,0.110000
0,TFT,22,0.110000
1,ALLC,17,0.085000
1,ALLD,0,0.000000
1,CTFT,28,0.140000
1,Empath,21,0.105000
1,GRIM,19,0.095000
1,PAVLOV,39,0.195000
1,PROBER,21,0.105000
1,Reflector,21,0.105000
1,TFT,34,0.170000
2,ALLC,12,0.060000
2,ALLD,0,0.000000
2,CTFT,24,0.120000
2,Empath,20,0.100000
2,GRIM,17,0.085000
2,PAVLOV,46,0.230000
2,PROBER,27,0.135000
2,Reflector,15,0.075000
2,TFT,39,0.195000
3,ALLC,8,0.040000
3,ALLD,0,0.000000
3,CTFT,24,0.120000
3,Empath,13,0.065000
3,GRIM,20,0.100000
3,PAVLOV,53,0.265000
3,PROBER,29,0.145000
3,Reflector,11,0.055000
3,TFT,42,0.210000
4,ALLC,10,0.050000
4,ALLD,1,0.005000
4,CTFT,30,0.150000
4,Empath,17,0.085000
4,GRIM,11,0.055000
4,PAVLOV,49,0.245000
4,PROBER,29,0.145000
4,Reflector,8,0.040000
4,TFT,45,0.225000
5,ALLC,6,0.030000
5,ALLD,0,0.000000
5,CTFT,36,0.180000
5,Empath,24,0.120000
5,GRIM,7,0.035000
5,PAVLOV,49,0.245000
5,PROBER,34,0.170000
5,Reflector,1,0.005000
5,TFT,43,0.215000
6,ALLC,4,0.020000
6,ALLD,1,0.005000
6,CTFT,36,0.180000
6,Empath,23,0.115000
6,GRIM,6,0.030000
6,PAVLOV,55,0.275000
6,PROBER,32,0.160000
6,Reflector,0,0.000000
6,TFT,43,0.215000
7,ALLC,3,0.015000
7,ALLD,0,0.000000
7,CTFT,41,0.205000
7,Empath,20,0.100000
7,GRIM,1,0.005000
7,PAVLOV,65,0.325000
7,PROBER,26,0.130000
7,Reflector,1,0.005000
7,TFT,43,0.215000
8,ALLC,3,0.015000
8,ALLD,0,0.000000
8,CTFT,43,0.215000
8,Empath,15,0.075000
8,GRIM,0,0.000000
8,PAVLOV,71,0.355000
8,PROBER,24,0.120000
8,Reflector,0,0.000000
8,TFT,44,0.220000
9,ALLC,0,0.000000
9,ALLD,1,0.005000
9,CTFT,43,0.215000
9,Empath,24,0.120000
9,GRIM,0,0.000000
9,PAVLOV,61,0.305000
9,PROBER,27,0.135000
9,Reflector,2,0.010000
9,TFT,42,0.210000
10,ALLC,1,0.005000
10,ALLD,0,0.000000
10,CTFT,36,0.180000
10,Empath,19,0.095000
10,GRIM,0,0.000000
10,PAVLOV,69,0.345000
10,PROBER,29,0.145000
10,Reflector,2,0.010000
10,TFT,44,0.220000
11,ALLC,2,0.010000
11,ALLD,0,0.000000
11,CTFT,45,0.225000
11,Empath,22,0.110000
11,GRIM,1,0.005000
11,PAVLOV,66,0.330000
11,PROBER,29,0.145000
11,Reflector,1,0.005000
11,TFT,34,0.170000
12,ALLC,2,0.010000
12,ALLD,0,0.000000
12,CTFT,30,0.150000
12,Empath,21,0.105000
12,GRIM,1,0.005000
12,PAVLOV,83,0.415000
12,PROBER,30,0.150000
12,Reflector,1,0.005000
12,TFT,32,0.160000
13,ALLC,3,0.015000
13,ALLD,2,0.010000
13,CTFT,38,0.190000
13,Empath,22,0.110000
13,GRIM,2,0.010000
13,PAVLOV,79,0.395000
13,PROBER,27,0.135000
13,Reflector,0,0.000000
13,TFT,27,0.135000
14,ALLC,3,0.015000
14,ALLD,1,0.005000
14,CTFT,32,0.160000
14,Empath,23,0.115000
14,GRIM,0,0.000000
14,PAVLOV,73,0.365000
14,PROBER,32,0.160000
14,Reflector,1,0.005000
14,TFT,35,0.175000
15,ALLC,0,0.000000
15,ALLD,0,0.000000
15,CTFT,26,0.130000
15,Empath,27,0.135000
15,GRIM,0,0.000000
