scenario,strategy,max_share,min_share,dominant_flag,extinct_flag
epsilon_0,ALLC,0.115,0.0,False,False
epsilon_0,ALLD,0.115,0.0,False,False
epsilon_0,CTFT,0.225,0.07,False,False
epsilon_0,Empath,0.19,0.05,False,False
epsilon_0,GRIM,0.11,0.0,False,False
epsilon_0,PAVLOV,0.58,0.11,True,False
epsilon_0,PROBER,0.185,0.02,False,False
epsilon_0,Reflector,0.11,0.0,False,False
epsilon_0,TFT,0.23,0.11,False,False
epsilon_0.05,ALLC,0.115,0.0,False,False
epsilon_0.05,ALLD,0.115,0.0,False,False
epsilon_0.05,CTFT,0.525,0.11,True,False
epsilon_0.05,Empath,0.16,0.01,False,False
epsilon_0.05,GRIM,0.11,0.0,False,False
epsilon_0.05,PAVLOV,0.11,0.0,False,False
epsilon_0.05,PROBER,0.635,0.11,True,False
epsilon_0.05,Reflector,0.11,0.0,False,False
epsilon_0.05,TFT,0.24,0.0,False,False
