strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"Reflector",1.742417,0.895341,1.582220,1.902613,0.430083,1.775000,10.197397,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,120,0.000000
"ALLD",1.260333,0.278628,1.210480,1.310186,0.000000,1.000000,100.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,120,0.000000
