strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"ALLC",3.000000,0.000000,3.000000,3.000000,1.000000,NA,0.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,120,0.000000
"GRIM",3.000000,0.000000,3.000000,3.000000,1.000000,NA,0.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,120,0.000000
