matchup,exploiter,target,exploiter_mean,target_mean,gap
PROBER vs ALLC,PROBER,ALLC,4.973333,0.040000000000000036,4.933333
PROBER vs TFT,PROBER,TFT,2.9933330000000002,2.993334,-9.999999996956888e-07
