strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"TFT",2.996667,0.003354,2.995932,2.997402,0.996667,2.000000,3.000000,20,7,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,80,0.000000
"PROBER",2.990000,0.003354,2.989265,2.990735,0.993333,1.000000,2.500000,20,7,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,80,0.000000
