strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"PROBER",2.886417,1.062331,2.791379,2.981454,0.686861,1.000000,25.860759,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"CTFT",2.731792,0.659765,2.672768,2.790815,0.868028,2.483333,21.376258,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"TFT",2.718472,0.661419,2.659301,2.777644,0.853875,2.305556,20.195652,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,480,0.000000
"PAVLOV",2.718458,0.661745,2.659258,2.777659,0.854500,2.411111,20.433219,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,480,0.000000
"Empath",2.683222,0.687112,2.621752,2.744692,0.834778,2.405556,15.185946,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"Reflector",2.566444,0.751658,2.499200,2.633689,0.726389,2.122917,6.610038,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,480,0.000000
"ALLC",2.196708,1.267701,2.083298,2.310119,1.000000,NA,15.812838,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,480,0.000000
"ALLD",1.564667,1.304794,1.447938,1.681395,0.000000,1.000000,150.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,480,0.000000
