strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"CTFT",2.247593,0.627666,2.182754,2.312431,0.712648,5.352778,5.325869,30,42,0.100000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"TFT",2.240870,0.494372,2.189801,2.291940,0.518148,5.522222,9.462039,30,42,0.100000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"Empath",2.230685,0.492691,2.179790,2.281581,0.552759,5.708333,7.040318,30,42,0.100000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"Reflector",2.226926,0.553398,2.169759,2.284093,0.568685,2.172222,5.640451,30,42,0.100000,"5.000000,3.000000,1.000000,0.000000",3.000000,360,0.000000
"PAVLOV",2.151278,0.480473,2.101644,2.200911,0.495630,4.908333,8.695533,30,42,0.100000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
"GRIM",1.963556,0.531197,1.908682,2.018429,0.130296,5.683333,31.426259,30,42,0.100000,"5.000000,3.000000,1.000000,0.000000",2.000000,360,0.000000
