strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"Empath",1.995000,1.009214,1.814429,2.175571,0.505000,2.000000,100.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,120,0.000000
"ALLD",1.020000,0.020084,1.016407,1.023593,0.000000,1.000000,100.000000,30,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,120,0.000000
