strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"PAVLOV",2.772500,0.646775,2.473705,3.071295,0.885000,3.000000,31.642857,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,18,0.365000
"CTFT",2.760278,0.644010,2.462760,3.057795,0.881389,2.166667,27.352941,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,18,0.110000
"TFT",2.759722,0.645583,2.461478,3.057967,0.877500,3.500000,30.000000,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,18,0.230000
"Empath",2.758056,0.643433,2.460805,3.055307,0.871389,2.166667,17.258065,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,18,0.090000
"PROBER",2.727222,1.163199,2.189851,3.264593,0.638333,1.000000,32.581395,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,18,0.160000
"Reflector",2.430833,0.850336,2.037998,2.823669,0.674444,2.277778,8.513369,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,18,0.030000
"GRIM",2.366111,0.925307,1.938641,2.793581,0.668333,2.000000,200.000000,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",2.000000,18,0.000000
"ALLC",2.286667,1.257721,1.705629,2.867704,1.000000,NA,15.655172,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,18,0.015000
"ALLD",1.484444,1.280690,0.892796,2.076093,0.000000,1.000000,200.000000,1,42,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,18,0.000000
