strategy,ALLC,ALLD,TFT,GRIM,PAVLOV,Empath,Reflector
ALLC,3.0,0.0,3.0,3.0,3.0,3.0,2.4690000000000003
ALLD,5.0,1.0,1.04,1.04,1.04,1.04,1.5206659999999999
TFT,3.0,0.9900000000000002,3.0,3.0,3.0,3.0,2.6421659999999996
GRIM,3.0,0.9900000000000002,3.0,3.0,3.0,3.0,1.6216660000000003
PAVLOV,3.0,0.9900000000000002,3.0,3.0,3.0,3.0,2.6421659999999996
Empath,3.0,0.9900000000000002,3.0,3.0,3.0,3.0,2.6795
Reflector,3.340333,0.8561670000000001,2.6384989999999995,0.8929990000000001,2.6384989999999995,2.7503329999999995,2.628667
