generation,strategy,count,share
25,CTFT,1,0.005000
25,Empath,0,0.000000
25,GRIM,2,0.010000
25,PAVLOV,0,0.000000
25,PROBER,2,0.010000
25,Reflector,0,0.000000
25,TFT,0,0.000000
26,ALLC,195,0.975000
26,ALLD,0,0.000000
26,CTFT,0,0.000000
26,Empath,0,0.000000
26,GRIM,3,0.015000
26,PAVLOV,0,0.000000
26,PROBER,1,0.005000
26,Reflector,1,0.005000
26,TFT,0,0.000000
27,ALLC,195,0.975000
27,ALLD,0,0.000000
27,CTFT,0,0.000000
27,Empath,0,0.000000
27,GRIM,1,0.005000
27,PAVLOV,2,0.010000
27,PROBER,1,0.005000
27,Reflector,0,0.000000
27,TFT,1,0.005000
28,ALLC,191,0.955000
28,ALLD,0,0.000000
28,CTFT,0,0.000000
28,Empath,1,0.005000
28,GRIM,1,0.005000
28,PAVLOV,3,0.015000
28,PROBER,3,0.015000
28,Reflector,1,0.005000
28,TFT,0,0.000000
29,ALLC,194,0.970000
29,ALLD,0,0.000000
29,CTFT,1,0.005000
29,Empath,1,0.005000
29,GRIM,2,0.010000
29,PAVLOV,1,0.005000
29,PROBER,0,0.000000
29,Reflector,1,0.005000
29,TFT,0,0.000000
30,ALLC,194,0.970000
30,ALLD,1,0.005000
30,CTFT,1,0.005000
30,Empath,1,0.005000
30,GRIM,1,0.005000
30,PAVLOV,1,0.005000
30,PROBER,1,0.005000
30,Reflector,0,0.000000
30,TFT,0,0.000000
31,ALLC,195,0.975000
31,ALLD,0,0.000000
31,CTFT,1,0.005000
31,Empath,1,0.005000
31,GRIM,0,0.000000
31,PAVLOV,1,0.005000
31,PROBER,0,0.000000
31,Reflector,0,0.000000
31,TFT,2,0.010000
32,ALLC,194,0.970000
32,ALLD,0,0.000000
32,CTFT,1,0.005000
32,Empath,0,0.000000
32,GRIM,2,0.010000
32,PAVLOV,1,0.005000
32,PROBER,0,0.000000
32,Reflector,0,0.000000
32,TFT,2,0.010000
33,ALLC,191,0.955000
33,ALLD,0,0.000000
33,CTFT,1,0.005000
33,Empath,1,0.005000
33,GRIM,4,0.020000
33,PAVLOV,1,0.005000
33,PROBER,1,0.005000
33,Reflector,1,0.005000
33,TFT,0,0.000000
34,ALLC,190,0.950000
34,ALLD,0,0.000000
34,CTFT,1,0.005000
34,Empath,4,0.020000
34,GRIM,3,0.015000
34,PAVLOV,1,0.005000
34,PROBER,0,0.000000
34,Reflector,0,0.000000
34,TFT,1,0.005000
35,ALLC,189,0.945000
35,ALLD,1,0.005000
35,CTFT,1,0.005000
35,Empath,2,0.010000
35,GRIM,2,0.010000
35,PAVLOV,2,0.010000
35,PROBER,0,0.000000
35,Reflector,1,0.005000
35,TFT,2,0.010000
36,ALLC,190,0.950000
36,ALLD,0,0.000000
36,CTFT,0,0.000000
36,Empath,1,0.005000
36,GRIM,3,0.015000
36,PAVLOV,2,0.010000
36,PROBER,0,0.000000
36,Reflector,0,0.000000
36,TFT,4,0.020000
37,ALLC,190,0.950000
37,ALLD,0,0.000000
37,CTFT,1,0.005000
37,Empath,0,0.000000
37,GRIM,1,0.005000
37,PAVLOV,3,0.015000
37,PROBER,1,0.005000
37,Reflector,0,0.000000
37,TFT,4,0.020000
38,ALLC,186,0.930000
38,ALLD,1,0.005000
38,CTFT,1,0.005000
38,Empath,0,0.000000
38,GRIM,4,0.020000
38,PAVLOV,2,0.010000
38,PROBER,1,0.005000
38,Reflector,0,0.000000
38,TFT,5,0.025000
39,ALLC,184,0.920000
39,ALLD,1,0.005000
39,CTFT,1,0.005000
39,Empath,1,0.005000
39,GRIM,4,0.020000
39,PAVLOV,2,0.010000
39,PROBER,1,0.005000
39,Reflector,0,0.000000
39,TFT,6,0.030000
40,ALLC,189,0.945000
40,ALLD,2,0.010000
40,CTFT,1,0.005000
40,Empath,0,0.000000
40,GRIM,1,0.005000
40,PAVLOV,1,0.005000
40,PROBER,1,0.005000
40,Reflector,1,0.005000
40,TFT,4,0.020000
41,ALLC,191,0.955000
41,ALLD,0,0.000000
41,CTFT,0,0.000000
41,Empath,0,0.000000
41,GRIM,4,0.020000
41,PAVLOV,1,0.005000
41,PROBER,2,0.010000
41,Reflector,0,0.000000
41,TFT,2,0.010000
42,ALLC,191,0.955000
42,ALLD,0,0.000000
42,CTFT,2,0.010000
42,Empath,0,0.000000
42,GRIM,5,0.025000
42,PAVLOV,1,0.005000
42,PROBER,0,0.000000
42,Reflector,1,0.005000
42,TFT,0,0.000000
43,ALLC,195,0.975000
43,ALLD,0,0.000000
43,CTFT,2,0.010000
43,Empath,0,0.000000
43,GRIM,2,0.010000
43,PAVLOV,0,0.000000
43,PROBER,1,0.005000
43,Reflector,0,0.000000
43,TFT,0,0.000000
44,ALLC,194,0.970000
44,ALLD,0,0.000000
44,CTFT,1,0.005000
44,Empath,1,0.005000
44,GRIM,2,0.010000
44,PAVLOV,0,0.000000
44,PROBER,0,0.000000
44,Reflector,2,0.010000
44,TFT,0,0.000000
45,ALLC,193,0.965000
45,ALLD,1,0.005000
45,CTFT,3,0.015000
45,Empath,1,0.005000
45,GRIM,1,0.005000
45,PAVLOV,0,0.000000
45,PROBER,1,0.005000
45,Reflector,0,0.000000
45,TFT,0,0.000000
46,ALLC,194,0.970000
46,ALLD,3,0.015000
46,CTFT,0,0.000000
46,Empath,0,0.000000
46,GRIM,1,0.005000
46,PAVLOV,0,0.000000
