strategy,ALLC,ALLD,TFT,GRIM,PAVLOV,Empath,Reflector
ALLC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFT,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.7578339999999999
GRIM,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.019833999999999907
PAVLOV,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.7578339999999999
Empath,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.791334
Reflector,0.814333,0.12149900000000002,0.7471670000000001,0.15416700000000005,0.7471670000000001,0.795833,0.738667
