generation,strategy,count,share
25,CTFT,89,0.445000
25,Empath,15,0.075000
25,GRIM,2,0.010000
25,PAVLOV,1,0.005000
25,PROBER,82,0.410000
25,Reflector,2,0.010000
25,TFT,9,0.045000
26,ALLC,2,0.010000
26,ALLD,0,0.000000
26,CTFT,92,0.460000
26,Empath,12,0.060000
26,GRIM,0,0.000000
26,PAVLOV,1,0.005000
26,PROBER,87,0.435000
26,Reflector,1,0.005000
26,TFT,5,0.025000
27,ALLC,2,0.010000
27,ALLD,0,0.000000
27,CTFT,87,0.435000
27,Empath,7,0.035000
27,GRIM,0,0.000000
27,PAVLOV,1,0.005000
27,PROBER,97,0.485000
27,Reflector,2,0.010000
27,TFT,4,0.020000
28,ALLC,1,0.005000
28,ALLD,1,0.005000
28,CTFT,89,0.445000
28,Empath,9,0.045000
28,GRIM,0,0.000000
28,PAVLOV,0,0.000000
28,PROBER,94,0.470000
28,Reflector,4,0.020000
28,TFT,2,0.010000
29,ALLC,1,0.005000
29,ALLD,0,0.000000
29,CTFT,90,0.450000
29,Empath,4,0.020000
29,GRIM,0,0.000000
29,PAVLOV,0,0.000000
29,PROBER,97,0.485000
29,Reflector,6,0.030000
29,TFT,2,0.010000
30,ALLC,1,0.005000
30,ALLD,1,0.005000
30,CTFT,96,0.480000
30,Empath,3,0.015000
30,GRIM,0,0.000000
30,PAVLOV,1,0.005000
30,PROBER,92,0.460000
30,Reflector,2,0.010000
30,TFT,4,0.020000
31,ALLC,0,0.000000
31,ALLD,0,0.000000
31,CTFT,93,0.465000
31,Empath,2,0.010000
31,GRIM,0,0.000000
31,PAVLOV,1,0.005000
31,PROBER,100,0.500000
31,Reflector,0,0.000000
31,TFT,4,0.020000
32,ALLC,0,0.000000
32,ALLD,0,0.000000
32,CTFT,83,0.415000
32,Empath,2,0.010000
32,GRIM,0,0.000000
32,PAVLOV,2,0.010000
32,PROBER,112,0.560000
32,Reflector,0,0.000000
32,TFT,1,0.005000
33,ALLC,1,0.005000
33,ALLD,0,0.000000
33,CTFT,86,0.430000
33,Empath,2,0.010000
33,GRIM,0,0.000000
33,PAVLOV,3,0.015000
33,PROBER,104,0.520000
33,Reflector,1,0.005000
33,TFT,3,0.015000
34,ALLC,0,0.000000
34,ALLD,0,0.000000
34,CTFT,83,0.415000
34,Empath,3,0.015000
34,GRIM,0,0.000000
34,PAVLOV,2,0.010000
34,PROBER,108,0.540000
34,Reflector,1,0.005000
34,TFT,3,0.015000
35,ALLC,0,0.000000
35,ALLD,0,0.000000
35,CTFT,70,0.350000
35,Empath,2,0.010000
35,GRIM,1,0.005000
35,PAVLOV,0,0.000000
35,PROBER,122,0.610000
35,Reflector,3,0.015000
35,TFT,2,0.010000
36,ALLC,2,0.010000
36,ALLD,1,0.005000
36,CTFT,70,0.350000
36,Empath,2,0.010000
36,GRIM,2,0.010000
36,PAVLOV,0,0.000000
36,PROBER,122,0.610000
36,Reflector,0,0.000000
36,TFT,1,0.005000
37,ALLC,0,0.000000
37,ALLD,1,0.005000
37,CTFT,70,0.350000
37,Empath,3,0.015000
37,GRIM,0,0.000000
37,PAVLOV,1,0.005000
37,PROBER,123,0.615000
37,Reflector,1,0.005000
37,TFT,1,0.005000
38,ALLC,0,0.000000
38,ALLD,1,0.005000
38,CTFT,76,0.380000
38,Empath,3,0.015000
38,GRIM,0,0.000000
38,PAVLOV,1,0.005000
38,PROBER,119,0.595000
38,Reflector,0,0.000000
38,TFT,0,0.000000
39,ALLC,1,0.005000
39,ALLD,0,0.000000
39,CTFT,75,0.375000
39,Empath,2,0.010000
39,GRIM,0,0.000000
39,PAVLOV,2,0.010000
39,PROBER,119,0.595000
39,Reflector,1,0.005000
39,TFT,0,0.000000
40,ALLC,0,0.000000
40,ALLD,1,0.005000
40,CTFT,82,0.410000
40,Empath,3,0.015000
