generation,strategy,count,share
25,CTFT,36,0.180000
25,Empath,26,0.130000
25,GRIM,1,0.005000
25,PAVLOV,97,0.485000
25,PROBER,14,0.070000
25,Reflector,0,0.000000
25,TFT,23,0.115000
26,ALLC,0,0.000000
26,ALLD,1,0.005000
26,CTFT,40,0.200000
26,Empath,24,0.120000
26,GRIM,1,0.005000
26,PAVLOV,96,0.480000
26,PROBER,14,0.070000
26,Reflector,0,0.000000
26,TFT,24,0.120000
27,ALLC,0,0.000000
27,ALLD,1,0.005000
27,CTFT,38,0.190000
27,Empath,20,0.100000
27,GRIM,0,0.000000
27,PAVLOV,113,0.565000
27,PROBER,12,0.060000
27,Reflector,0,0.000000
27,TFT,16,0.080000
28,ALLC,1,0.005000
28,ALLD,0,0.000000
28,CTFT,30,0.150000
28,Empath,23,0.115000
28,GRIM,0,0.000000
28,PAVLOV,101,0.505000
28,PROBER,17,0.085000
28,Reflector,0,0.000000
28,TFT,28,0.140000
29,ALLC,3,0.015000
29,ALLD,0,0.000000
29,CTFT,25,0.125000
29,Empath,23,0.115000
29,GRIM,1,0.005000
29,PAVLOV,103,0.515000
29,PROBER,17,0.085000
29,Reflector,1,0.005000
29,TFT,27,0.135000
30,ALLC,1,0.005000
30,ALLD,0,0.000000
30,CTFT,31,0.155000
30,Empath,25,0.125000
30,GRIM,1,0.005000
30,PAVLOV,94,0.470000
30,PROBER,14,0.070000
30,Reflector,0,0.000000
30,TFT,34,0.170000
31,ALLC,1,0.005000
31,ALLD,1,0.005000
31,CTFT,30,0.150000
31,Empath,24,0.120000
31,GRIM,2,0.010000
31,PAVLOV,96,0.480000
31,PROBER,13,0.065000
31,Reflector,0,0.000000
31,TFT,33,0.165000
32,ALLC,2,0.010000
32,ALLD,0,0.000000
32,CTFT,30,0.150000
32,Empath,21,0.105000
32,GRIM,1,0.005000
32,PAVLOV,93,0.465000
32,PROBER,17,0.085000
32,Reflector,1,0.005000
32,TFT,35,0.175000
33,ALLC,4,0.020000
33,ALLD,1,0.005000
33,CTFT,34,0.170000
33,Empath,21,0.105000
33,GRIM,0,0.000000
33,PAVLOV,90,0.450000
33,PROBER,12,0.060000
33,Reflector,2,0.010000
33,TFT,36,0.180000
34,ALLC,3,0.015000
34,ALLD,0,0.000000
34,CTFT,31,0.155000
34,Empath,18,0.090000
34,GRIM,0,0.000000
34,PAVLOV,91,0.455000
34,PROBER,13,0.065000
34,Reflector,1,0.005000
34,TFT,43,0.215000
35,ALLC,2,0.010000
35,ALLD,2,0.010000
35,CTFT,24,0.120000
35,Empath,24,0.120000
35,GRIM,0,0.000000
35,PAVLOV,89,0.445000
35,PROBER,12,0.060000
35,Reflector,0,0.000000
35,TFT,47,0.235000
36,ALLC,3,0.015000
36,ALLD,0,0.000000
36,CTFT,24,0.120000
36,Empath,27,0.135000
36,GRIM,0,0.000000
36,PAVLOV,84,0.420000
36,PROBER,13,0.065000
36,Reflector,0,0.000000
36,TFT,49,0.245000
37,ALLC,0,0.000000
37,ALLD,1,0.005000
37,CTFT,24,0.120000
37,Empath,24,0.120000
37,GRIM,0,0.000000
37,PAVLOV,90,0.450000
37,PROBER,9,0.045000
37,Reflector,0,0.000000
37,TFT,52,0.260000
38,ALLC,0,0.000000
38,ALLD,0,0.000000
38,CTFT,20,0.100000
38,Empath,24,0.120000
38,GRIM,0,0.000000
38,PAVLOV,85,0.425000
38,PROBER,9,0.045000
38,Reflector,0,0.000000
38,TFT,62,0.310000
39,ALLC,0,0.000000
39,ALLD,0,0.000000
39,CTFT,17,0.085000
39,Empath,24,0.120000
39,GRIM,1,0.005000
39,PAVLOV,88,0.440000
39,PROBER,8,0.040000
39,Reflector,2,0.010000
39,TFT,60,0.300000
40,ALLC,0,0.000000
40,ALLD,2,0.010000
40,CTFT,16,0.080000
40,Empath,20,0.100000
40,GRIM,1,0.005000
40,PAVLOV,86,0.430000
40,PROBER,11,0.055000
40,Reflector,0,0.000000
40,TFT,64,0.320000
41,ALLC,0,0.000000
41,ALLD,0,0.000000
41,CTFT,10,0.050000
41,Empath,20,0.100000
41,GRIM,2,0.010000
41,PAVLOV,85,0.425000
41,PROBER,9,0.045000
41,Reflector,0,0.000000
41,TFT,74,0.370000
42,ALLC,0,0.000000
42,ALLD,1,0.005000
42,CTFT,7,0.035000
42,Empath,23,0.115000
42,GRIM,3,0.015000
42,PAVLOV,77,0.385000
42,PROBER,9,0.045000
42,Reflector,0,0.000000
42,TFT,80,0.400000
43,ALLC,0,0.000000
43,ALLD,1,0.005000
43,CTFT,4,0.020000
43,Empath,24,0.120000
43,GRIM,2,0.010000
43,PAVLOV,76,0.380000
43,PROBER,18,0.090000
43,Reflector,1,0.005000
43,TFT,74,0.370000
44,ALLC,0,0.000000
44,ALLD,1,0.005000
44,CTFT,4,0.020000
44,Empath,28,0.140000
44,GRIM,4,0.020000
44,PAVLOV,87,0.435000
44,PROBER,17,0.085000
44,Reflector,0,0.000000
44,TFT,59,0.295000
45,ALLC,0,0.000000
45,ALLD,1,0.005000
45,CTFT,3,0.015000
45,Empath,24,0.120000
45,GRIM,4,0.020000
45,PAVLOV,84,0.420000
45,PROBER,19,0.095000
45,Reflector,0,0.000000
45,TFT,65,0.325000
46,ALLC,0,0.000000
46,ALLD,1,0.005000
46,CTFT,3,0.015000
46,Empath,24,0.120000
46,GRIM,4,0.020000
46,PAVLOV,96,0.480000
46,PROBER,16,0.080000
46,Reflector,1,0.005000
46,TFT,55,0.275000
47,ALLC,1,0.005000
47,ALLD,0,0.000000
47,CTFT,1,0.005000
47,Empath,35,0.175000
47,GRIM,2,0.010000
47,PAVLOV,91,0.455000
47,PROBER,11,0.055000
47,Reflector,4,0.020000
47,TFT,55,0.275000
48,ALLC,1,0.005000
48,ALLD,0,0.000000
48,CTFT,2,0.010000
48,Empath,39,0.195000
48,GRIM,3,0.015000
48,PAVLOV,86,0.430000
48,PROBER,12,0.060000
48,Reflector,1,0.005000
48,TFT,56,0.280000
49,ALLC,2,0.010000
49,ALLD,0,0.000000
49,CTFT,3,0.015000
49,Empath,49,0.245000
49,GRIM,4,0.020000
49,PAVLOV,82,0.410000
49,PROBER,9,0.045000
49,Reflector,0,0.000000
49,TFT,51,0.255000
50,ALLC,4,0.020000
50,ALLD,1,0.005000
50,CTFT,2,0.010000
50,Empath,48,0.240000
50,GRIM,2,0.010000
50,PAVLOV,82,0.410000
50,PROBER,6,0.030000
50,Reflector,0,0.000000
50,TFT,55,0.275000
