strategy,mean,stdev,ci95_low,ci95_high,coop_rate,first_defection,echo_length,repeats,seed,epsilon,payoffs,complexity,samples,share
"PROBER",3.980000,0.999600,3.760953,4.199047,0.503333,1.000000,50.333333,20,7,0.000000,"5.000000,3.000000,1.000000,0.000000",3.000000,80,0.000000
"ALLC",1.520000,1.489338,1.193635,1.846365,1.000000,NA,74.500000,20,7,0.000000,"5.000000,3.000000,1.000000,0.000000",1.000000,80,0.000000
