generation,strategy,count,share
28,ALLD,0,0.000000
28,CTFT,17,0.085000
28,GRIM,0,0.000000
28,PAVLOV,0,0.000000
28,PROBER,179,0.895000
28,TFT,4,0.020000
29,ALLC,0,0.000000
29,ALLD,0,0.000000
29,CTFT,17,0.085000
29,GRIM,0,0.000000
29,PAVLOV,0,0.000000
29,PROBER,179,0.895000
29,TFT,4,0.020000
30,ALLC,0,0.000000
30,ALLD,0,0.000000
30,CTFT,17,0.085000
30,GRIM,0,0.000000
30,PAVLOV,0,0.000000
30,PROBER,179,0.895000
30,TFT,4,0.020000
31,ALLC,0,0.000000
31,ALLD,0,0.000000
31,CTFT,17,0.085000
31,GRIM,0,0.000000
31,PAVLOV,0,0.000000
31,PROBER,179,0.895000
31,TFT,4,0.020000
32,ALLC,0,0.000000
32,ALLD,0,0.000000
32,CTFT,17,0.085000
32,GRIM,0,0.000000
32,PAVLOV,0,0.000000
32,PROBER,179,0.895000
32,TFT,4,0.020000
33,ALLC,0,0.000000
33,ALLD,0,0.000000
33,CTFT,17,0.085000
33,GRIM,0,0.000000
33,PAVLOV,0,0.000000
33,PROBER,179,0.895000
33,TFT,4,0.020000
34,ALLC,0,0.000000
34,ALLD,0,0.000000
34,CTFT,17,0.085000
34,GRIM,0,0.000000
34,PAVLOV,0,0.000000
34,PROBER,179,0.895000
34,TFT,4,0.020000
35,ALLC,0,0.000000
35,ALLD,0,0.000000
35,CTFT,17,0.085000
35,GRIM,0,0.000000
35,PAVLOV,0,0.000000
35,PROBER,179,0.895000
35,TFT,4,0.020000
36,ALLC,0,0.000000
36,ALLD,0,0.000000
36,CTFT,17,0.085000
36,GRIM,0,0.000000
36,PAVLOV,0,0.000000
36,PROBER,179,0.895000
36,TFT,4,0.020000
37,ALLC,0,0.000000
37,ALLD,0,0.000000
37,CTFT,17,0.085000
37,GRIM,0,0.000000
37,PAVLOV,0,0.000000
37,PROBER,179,0.895000
37,TFT,4,0.020000
38,ALLC,0,0.000000
38,ALLD,0,0.000000
38,CTFT,17,0.085000
38,GRIM,0,0.000000
38,PAVLOV,0,0.000000
38,PROBER,179,0.895000
38,TFT,4,0.020000
39,ALLC,0,0.000000
39,ALLD,0,0.000000
39,CTFT,17,0.085000
39,GRIM,0,0.000000
39,PAVLOV,0,0.000000
39,PROBER,179,0.895000
39,TFT,4,0.020000
40,ALLC,0,0.000000
40,ALLD,0,0.000000
40,CTFT,17,0.085000
40,GRIM,0,0.000000
40,PAVLOV,0,0.000000
40,PROBER,179,0.895000
40,TFT,4,0.020000
41,ALLC,0,0.000000
41,ALLD,0,0.000000
41,CTFT,17,0.085000
41,GRIM,0,0.000000
41,PAVLOV,0,0.000000
41,PROBER,179,0.895000
41,TFT,4,0.020000
42,ALLC,0,0.000000
42,ALLD,0,0.000000
42,CTFT,17,0.085000
42,GRIM,0,0.000000
